매장,메인분류,서브분류,상품명,가격,이미지,이벤트상품,비고
CU,간편식사,도시락,도)백종원뉴바싹불고기,4700,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809948342980.jpg,,
CU,간편식사,도시락,샐)놀라운치킨텐더샐러드,2500,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029809.png,,
CU,간편식사,도시락,샐)놀라운양배추샐러드,2300,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029786.png,,
CU,간편식사,도시락,도)자이언트달콤치킨,9900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029489.png,,
CU,간편식사,도시락,도)코난의혹의매운맛카레,4600,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809196618219.jpg,,
CU,간편식사,도시락,면)코난나폴리탄파스타,4900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029601.jpg,,
CU,간편식사,도시락,샐)두부계란샐러드,3800,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068919165.jpg,,
CU,간편식사,도시락,도)백종원뉴백반한판,4700,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809948342683.jpg,,
CU,간편식사,도시락,샐)닭가슴살쌀국수샐러드,5700,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029342.jpg,,
CU,간편식사,도시락,도)백종원마라탕,6900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029588.jpg,,
CU,간편식사,도시락,면)백종원마라볶음면,4900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029564.jpg,,
CU,간편식사,도시락,샐)고구마허브치킨샐러드,3800,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068919189.jpg,,
CU,간편식사,도시락,샐)리코타뮤즐리샐러드,3800,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801068919172.jpg,,
CU,간편식사,도시락,도)자이언트매콤치킨,9900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029441.png,,
CU,간편식사,도시락,도)떠먹는페퍼로니피자,6900,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029199.jpg,,
CU,간편식사,도시락,면)트러플크림파스타,4500,http://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801771029274.jpg,,
